title,nid,community,category,latlng,location,creator,dateyear,description,fileformat,identifier,item sharing settings,language,media assets,publisher,rights,source,subjectold,subject,protocol,date,username,type,sid,provider,filetitle,thumbnail,mediasource,match,format,objectid
Wagon made in Shop at Chemawa,29771,3668;12;8;2;4,Education,POINT (-122.9925959 45.0015084),"Chemawa Indian School",Edwin Chalcraft,1909-00-00,"A photograph (lantern slide) of a wagon with leaf spring suspended seats circa 1909",JPEG,0WSUMASC0076,all,English,150,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections, Washington State University (pc082b2_29)",NULL,Chemawa Indian School;boarding schools;boarding schools;Chemawa,3670;19;17;14;15,1908-11-30,admin,,150,scald_image,pc082b2_30.jpg,/files/private/image/153/pc082b2_30.jpg,/files/private/image/153/pc082b2_30.jpg,Match,image/jpeg,chalcraft001
An Inspecting Officer Visiting Chemawa,29756,3668;12;8;2;4,Education,POINT (-122.9925959 45.0015084),"Chemawa Indian School",Edwin Chalcraft,1909-00-00,"A photograph (lantern slide) of a man in a hat and suit walking a path, with hedges in the background circa 1909.",JPEG,0WSUMASC0061,all,English,135,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections, Washington State University (pc082b2_14)",NULL,Chemawa;boarding schools;boarding schools,3670;19;17;14;15,1908-11-30,admin,,135,scald_image,pc082b2_14.jpg,/files/private/image/138/pc082b2_14.jpg,/files/private/image/138/pc082b2_14.jpg,Match,image/jpeg,chalcraft002
Mr. Cooper and Blooming Sweet Peas at Chemawa Indian School,29753,3668;12;8;2;4,Education,POINT (-122.9925959 45.0015084),"Chemawa Indian School",Edwin Chalcraft,1909-00-00,"A photograph (lantern slide) taken of the profile of a man standing in front of a bush with a building in the background circa 1909.",JPEG,0WSUMASC0064,all,English,132,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections, Washington State University (pc082b2_17)",NULL,boarding schools;Chemawa;boarding schools,3670;19;17;14;15,1908-11-30,admin,,132,scald_image,pc082b2_17.jpg,/files/private/image/135/pc082b2_17.jpg,/files/private/image/135/pc082b2_17.jpg,Match,image/jpeg,chalcraft003
Grounds and Bandstand at Chemawa,29748,3668;12;8;2;4;6,Education,POINT (-122.9925959 45.0015084),"Chemawa Indian School",Edwin Chalcraft,1909-00-00,"A photograph (lantern slide) of bandstand on the right side framed by stands of pines and a bush in the left foreground circa 1909.",JPEG,0WSUMASC0050,all,English,127,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections, Washington State University (pc082b2_3)",,boarding schools;Chemawa;boarding schools,3670;19;17;14;15;16,1908-11-30,admin,Image,127,scald_image,pc082b2_3.jpg,/files/private/image/130/pc082b2_3.jpg,/files/private/image/130/pc082b2_3.jpg,Match,image/jpeg,chalcraft004
Academic Building at Chemawa,29752,3668;12;8;2;4,Education,POINT (-122.9925959 45.0015084),"Chemawa Indian School",Edwin Chalcraft,1909-00-00,"A photograph (lantern slide) of a building standing in the center of the frame&nbsp; with two trees on either side of the main entrance and a white picket fence in front circa 1909.",JPEG,0WSUMASC0065,all,English,131,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections, Washington State University (pc082b2_19)",NULL,Chemawa;boarding schools;boarding schools,3670;19;17;14;15,1908-11-30,admin,,131,scald_image,pc082b2_18.jpg,/files/private/image/134/pc082b2_18.jpg,/files/private/image/134/pc082b2_18.jpg,Match,image/jpeg,chalcraft005
School grounds at Chemawa,29747,3668;12;8;2;4,Education,POINT (-122.9925959 45.0015084),"Chemawa Indian School",Edwin Chalcraft,1909-00-00,"A photograph (lantern slide) that has been colored, of a house in the left background framed by stands of pine trees.&nbsp; There is a path running from left foreground to center background lined by flowering bushes circa 1909.",JPEG,0WSUMASC0051,all,English,126,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections,  Washington State University (pc082b2_4)",,boarding schools;Chemawa,3670;19;17;14;15,1908-11-30,admin,,126,scald_image,pc082b2_4.jpg,/files/private/image/129/pc082b2_4.jpg,/files/private/image/129/pc082b2_4.jpg,Match,image/jpeg,chalcraft006
Commissary at Chemawa,29768,3668;12;8;2;4,Education,POINT (-122.9925959 45.0015084),,Edwin Chalcraft,1909-00-00,"A photograph (lantern slide) of a structurally simplistic two story building with a bleacher in the left background circa 1909",JPEG,0WSUMASC0069,all,English,147,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections, Washington State University (pc082b2_22)",NULL,Chemawa Indian School;boarding schools;boarding schools;Chemawa,3670;19;17;14;15,1908-11-30,admin,,147,scald_image,pc082b2_22.jpg,/files/private/image/150/pc082b2_22.jpg,/files/private/image/150/pc082b2_22.jpg,Match,image/jpeg,chalcraft007
Unidentified Building at Chemawa,29763,3668;12;8;2;4,Education,POINT (-122.9925959 45.0015084),"Chemawa Indian School",Edwin Chalcraft,1909-00-00,"A photograph (lantern slide) of an extremely large barn like building circa 1909",JPEG,0WSUMASC0074,all,English,142,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections, Washington State University (pc082b2_27)",NULL,Chemawa Indian School;boarding schools;boarding schools;Chemawa,3670;19;17;14;15,1908-11-30,admin,,142,scald_image,pc082b2_27.jpg,/files/private/image/145/pc082b2_27.jpg,/files/private/image/145/pc082b2_27.jpg,Match,image/jpeg,chalcraft008
Rose Bush Growing... Building at Chemawa,29757,3668;12;8;2;4,Education,POINT (-122.9925959 45.0015084),"Chemawa Indian School",Edwin Chalcraft,1909-00-00,"A photograph (lantern slide) of a rose bush in front of a building circa 1909.",JPEG,0WSUMASC0060,all,English,136,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections, Washington State University (pc082b2_13)",NULL,boarding schools;Chemawa;boarding schools,3670;19;17;14;15,1908-11-30,admin,,136,scald_image,pc082b2_13.jpg,/files/private/image/139/pc082b2_13.jpg,/files/private/image/139/pc082b2_13.jpg,Match,image/jpeg,chalcraft009
"Mitchell Hall, Large Boys Home at Chemawa",29769,3668;12;8;2;4,Education,POINT (-122.9925959 45.0015084),"Chemawa Indian School",Edwin Chalcraft,1909-00-00,"A photograph (lantern slide) of a large building with a pair of utility poles in the foreground and a large tree in the right frame circa 1909",JPEG,0WSUMASC0068,all,English,148,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections, Washington State University (pc082b2_21)",,Chemawa Indian School;boarding schools;Chemawa,3670;19;17;14;15,1908-11-30,admin,,148,scald_image,pc082b2_21.jpg,/files/private/image/151/pc082b2_21.jpg,/files/private/image/151/pc082b2_21.jpg,Match,image/jpeg,chalcraft010
