guid,title,community,people,summary,subject,contributor,latlng,location,creator,description,item sharing settings,media assets,keywords,protocol,username,guid,provider,title,thumbnail,file,mediasource,protocol,match,format,objectid
digital_heritage_7_1543339764,"George Arthur Davison, Jr. Full Narrative",community_2_1537561345,George Arthur Davidson,George Davidson was a star athlete and student leader at WSC before enlisting in the U.S. Army in 1943. He was killed in action at Zweibrücken in March 1945.,European Theater;U.S. Army,Claire Thornton,POINT (7.3634022 49.2450528),"Zweibruecken, Germany ",Raymond Sun,"Born and raised in Twin Falls, Idaho, George Arthur Davison attended WSC from 1940-43, where he was a star athlete and a student leader. After basic training and commissioning as a second lieutenant, Davison returned to WSC to help lead the Junior ROTC unit before being deployed to Germany in January 1945 with the Third Infantry Division He was killed in action on the German border outside of Zweibrücken on March 18, 1945. Davison is buried at the Lorraine American Cemetery in St. Avold (Moselle), France.",any,file_4_1543339454,Infantry,cultural_protocol_group_6_1543339508,william.clements,file_4_1543339454,scald_file,Thornton GEORGE DAVISON.pdf,https://cdsc-wsu.org/ww2csp/system/files/thumbnails/file/file-6.png,,https://cdsc-wsu.org/ww2csp/system/files/atoms/file/Thornton%20GEORGE%20DAVISON_0.pdf,,Match,application/pdf,ww2csp001
digital_heritage_49_1565414579,Merle Stimmel Eaton,community_2_1537561345,Merle Stimmel Eaton,"Merle Stimmel Eaton, born on August 11, 1921, attended WSC during the 1940-1941 school year as a Mechanical Engineering major. He enlisted in the US Army Air Corp Reserves in March 1943, and was killed performing a bombing raid on April 4, 1945.",Pacific Theater;U.S. Army,Samantha Edgerton,POINT (139.888044 35.573379),"Tokyo Bay, Japan",Raymond Sun,"Merle Stimmel Eaton was born on August 11, 1921 in Waitsburg, Washington to Clarence and Charlotte May Stimmel Eaton. His father worked as a farmer. Eaton graduated from Waitsburg High School in 1940 and attended Washington State College (WSC) during the 1940-1941 academic year as a Mechanical Engineering major. He was a member of the Associated Engineers club. Eaton went to work for Boeing in Seattle, Washington after leaving WSC, and he was later employed by Leonard and Slate, a general contracting business. He enlisted as an Aviation Cadet in the United States Army Air Corps Reserves on March 12, 1943. Eaton trained at Thunderbird Field in Phoenix, Arizona; Merced Army Air Field in Merced, California; and Stockton Field in Stockton, California. He received his commission as a Second Lieutenant and was sent to Saipan on December 5, 1944 with the 500th Bombardment Group of the 73rd Bomb Wing. He was declared missing effective April 4, 1945 after his plane and crew didn't return from a bombing raid near Tokyo; he was officially presumed dead on April 5, 1946. Eaton is memorialized at Tablets of the Missing, Honolulu Memorial (Punchbowl) in Honlulu, Hawaii.",all,file_106_1565414535,United States Army Air Corps 500th Bombardment Group 73rd Bomb Wing,cultural_protocol_group_6_1543339508,samantha.edgerton,file_106_1565414535,scald_file,Eaton_biography.pdf,https://cdsc-wsu.org/ww2csp/system/files/thumbnails/file/file-162.png,,https://cdsc-wsu.org/ww2csp/system/files/atoms/file/Eaton_biography.pdf,,Match,application/pdf,ww2csp002
digital_heritage_53_1565677810,Harvey Ralph Erickson ,community_2_1537561345,Harvey Ralph Erickson,"Harvey Ralph Erickson, born on February 8, 1906, graduated from WSC with a degree in Hydraulic Engineering in 1934. Serving with the 1924th Enginner Aviation Battalion, he died as a result of injuries suffered in a car crash on August 23, 1945.",Pacific Theater;U.S. Army,Samantha Edgerton,POINT (127.754057 26.272885),"Ginowan, Okinawa, Japan",Raymond Sun,"Harvey Ralph Erickson was born on February 8, 1906 to Peter and Josephine Erickson in Erickson, Nebraska. The family moved to Spokane, Washington shortly after Erickson's birth. He attended Washington State College (WSC) from 1929 through 1934, graduating with a Bachelor's degree in Hydraulic Engineering. He married Mary Isabelle Peters and following his graduation from WSC, he worked as a general foreman for Pacific Gas and Electric Company in San Jose, California. Erickson enlisted in the United States Army Air Forces in February 1943 and was commissioned an officer. Initially stationed in San Diego with the 19th Coast Artillery Regiment, he transferred to the 1924th Engineer Aviation Battalion after its formation on July 9, 1944. He was directing the construction of a water pipeline on Okinawa when the car he was traveling in was hit by another Army vehicle on August 18, 1945, three days after Japan's surrender. Erickson suffered a traumatic brain injury, and he succumbed to his injuries on August 23, 1945. He is buried in the National Memorial Cemetery of the Pacific (Punchbowl) in Honolulu, Hawaii. ",all,file_115_1565677440,United States Army Air Forces 19th Coast Artillery Regiment 1924th Engineer Aviation Battalion,cultural_protocol_group_6_1543339508,samantha.edgerton,file_115_1565677440,scald_file,Erickson_biography.pdf,https://cdsc-wsu.org/ww2csp/system/files/thumbnails/file/file-173.png,,https://cdsc-wsu.org/ww2csp/system/files/atoms/file/Erickson_biography.pdf,,Match,application/pdf,ww2csp003
digital_heritage_51_1565425218,Robert Edward Ennis,community_2_1537561345,Robert Edward Ennis,"Robert Edward Ennis, born on October 13, 1915, graduated from WSC in 1939 with a General Studies major. Commissioned an officer in the U.S. Army, he served in the 101st Philippine Division. He died on the prison ship Shinyo Maru on September 7, 1944.",Pacific Theater;U.S. Army,Samantha Edgerton,POINT (122.560656 8.629962),"Sulu Sea, Mindanao, Philippines",Raymond Sun,"Robert Edward Ennis was born on October 13, 1915 to Matthew and Elizabeth Copeland Ennis in Walla Walla, Washington. He moved with his family to Lewistown, Montana during his childhood, and graduated from Fergus County High School in 1934. Ennis attended Washington State College (WSC) from 1934 to 1939, graduating with a degree in General Studies. While at WSC, he was a member of the Montezuma Club, the WSC Senate, Associated Engineers, the Newman Club, and Scabbard and Blade. He was an R.O.T.C. cadet, achieving the rank of Captain while in college. He was commissioned an officer in the United States Army Reserves following his graduation, and he was assigned to the 101st Philippine Division, 103rd Infantry. Following the fall of Bataan and Corregidor in 1942, Ennis was listed as a prisoner of war (POW) effective May 7, 1942 and he was sent to the penal colony of Davao on Mindanao, Philippines. He was on the cargo ship Shinyo Maru when it was torpedoed by an American submarine on September 7, 1944 and he was killed. He is memorialized at Tablets of the Missing at Manila American Cemetery, Manila, Philippines.",all,file_111_1565425162,United States Army 101st Philippine Division 103rd Infantry,cultural_protocol_group_6_1543339508,samantha.edgerton,file_111_1565425162,scald_file,Ennis_biography.pdf,https://cdsc-wsu.org/ww2csp/system/files/thumbnails/file/file-168.png,,https://cdsc-wsu.org/ww2csp/system/files/atoms/file/Ennis_biography.pdf,,Match,application/pdf,ww2csp004
digital_heritage_29_1563902906,Sidney Carl Beinke,community_2_1537561345,Sidney Carl Beinke,"Sidney Carl Beinke graduated from Washington State College in 1940 with a Bachelor of Science degree in Botany. A First Lieutenant in the United States Marine Corps, he was killed in action at Peleliu in the Palau Islands on October 3, 1944. ",Pacific Theater;U.S. Marines,Samantha Edgerton,POINT (134.243415 7.005181),"Peleliu, Palau Islands",Raymond Sun,"Sidney Carl Beinke was born on May 22, 1917 in St. Louis, Missouri. He attended Cleveland High School in Seattle, Washington, where he participated in track and was a member of the stage crew and Boys' Club all four years. Beinke initially attended the University of Washington after graduating from high school in 1935, but quickly switched to Washington State College (WSC). He was a member of Phi Sigma at WSC, a national biological research fraternity, an served as the organization's president for one semester. He graduated with a Bachelor of Science degree in Botany on June 3, 1940, and went to work for the U.S. Department of Agriculture as a AAA range specialist until his enlistment in the United States Marine Corp in the fall of 1942. Beinke initially served as an enlisted man but achieved the rank of First Lieutenant in July 1944. He was killed in action at Peleliu in the Palau Islands on October 3, 1944. He received a Presidential Unit Citation (PUC) with a ribbon bar; a posthumous letter of commendation from W.H. Rupertus, Major General, U.S. Marine Corps, Commanding First Marine Division, Fleet Marine Force; and the Silver Star Medal. He is buried at Evergreen-Washelli Memorial Park in Seattle.",all,file_48_1563902828,United States Marine Corps Seventh Marine Regiment First Marine Division,cultural_protocol_group_6_1543339508,samantha.edgerton,file_48_1563902828,scald_file,Beinke_biography.pdf,https://cdsc-wsu.org/ww2csp/system/files/thumbnails/file/file-66.png,,https://cdsc-wsu.org/ww2csp/system/files/atoms/file/Beinke_biography.pdf,,Match,application/pdf,ww2csp005
digital_heritage_47_1565400790,George Nick Dragnich,community_2_1537561345,George Nick Dragnich,"George Nick Dragnich, born on August 27, 1920 in Republic, Washington, attended WSC from 1940 through 1943 as an Industrial Arts major. He joined the US Army Air Corps as a reconnaissance pilot. He was killed in a plane crash on October 12, 1945. ",Pacific Theater;U.S. Army,Samantha Edgerton,POINT (138.042851 36.720724),"Honshu, Japan",Raymond Sun,"George Nick Dragnich was born on August 27, 1920 in Republic, Washington to Nick and Stella Knoxevich Dranich. He had four brothers and one sister, and his father was a naturalized citizen born in Montenegro. He graduated from Republic High School in 1940 and attended Washington State College (WSC) from 1940 through 1943 as an Industrial Arts major. He enlsited in the United States Air Force Reserves in 1941, then the United States Army Air Corps on February 28, 1943. He gained his pilot wings at La Junta Army Airfield in Colorado and received his commission as a Second Lieutenant. He was assigned as a reconnaissance pilot and P-38 squadron operations officer in the Hawkeyes photo unit of the Fifth Air Force in the Pacific theatre. The Hawkeyes were constituted as the 25th Photographic Reconnaissance Squadron on February 5, 1943; their field of operations included combat assignments in the Southwest Pacific and Western Pacific from February 5, 1944 through August 14, 1945. Dragnich flew seventy-two missions in the Pacific theatre during World War II, earning the rank of Captain. He was in the midst of performing a routine flight on October 12, 1945 when his plane inexplicably crashed after ten minutes in the air over Honshu, Japan. He did not survive. Dragnich is buried at Golden Gate National Cemetery in San Bruno, California. ",all,file_100_1565400752,United States Army Air Corps 25th Photographic Reconnaissance Squadron Hawkeyes,cultural_protocol_group_6_1543339508,samantha.edgerton,file_100_1565400752,scald_file,Dragnich_biography.pdf,https://cdsc-wsu.org/ww2csp/system/files/thumbnails/file/file-155.png,,https://cdsc-wsu.org/ww2csp/system/files/atoms/file/Dragnich_biography.pdf,,Match,application/pdf,ww2csp006
digital_heritage_45_1565396762,Jesse Lloyd Colley,community_2_1537561345,Jesse Lloyd Colley,"Jesse Lloyd Colley, born on February 28, 1917 in Mesa, Washington, attended WSC from 1935 through 1937 as a Business Administration major. He enlisted in the United States Army as a Private, and was killed in action on Guadalcanal on January 12, 1943. ",Pacific Theater;U.S. Army,Samantha Edgerton,POINT (160.141 -9.527879),"Guadalcanal, Solomon Islands",Raymond Sun,"Jesse Lloyd Colley, also known as Jess Colley, was born on February 28, 1917 in Mesa, Franklin County, Washington to Curtis Leroy Colley and Olive Hagsdale Colley. His father was a farmer, and the family relocated to Kahlotus, where the younger Colley graduated from high school in 1935. He attended Washington State College (WSC) from 1935 through 1937 as a Business Administration major, but left school to work as a farmer in Connell, Washington. He enlisted in the United States Army on April 24, 1942 as a Private, and he was assigned to the 27th Infantry Regiment. Colley was sent to Gudalcanal and served in the 27th's offensive beginning on January 10, 1943. Colley was killed in action on January 12, 1943 during the 27th Infantry's attack on what would become known as Mitchell Ridge. He is buried in City View Cemetery in Pasco, Washington.",all,file_99_1565400361,United States Army 27th Infantry Regiment,cultural_protocol_group_6_1543339508,samantha.edgerton,file_99_1565400361,scald_file,Colley_biography.pdf,https://cdsc-wsu.org/ww2csp/system/files/thumbnails/file/file-153.png,,https://cdsc-wsu.org/ww2csp/system/files/atoms/file/Colley_biography_0.pdf,,Match,application/pdf,ww2csp007
digital_heritage_43_1565368809,"Elson Cameron Daggett, Jr.",community_2_1537561345,"Elson Cameron Daggett, Jr.","Daggett, born on July 16, 1920 in Portland, Oregon, graduated from WSC with a Bachelor's degree in Economics in 1943. A First Lieutenant in the United States Army, he was killed in action on Okinawa on April 8, 1945.",Pacific Theater;U.S. Army,Samantha Edgerton,POINT (127.8054 26.338412),"Hagushi, Okinawa, Japan",Raymond Sun,"Elson Cameron Daggett, Jr., known as 'Cam' to his family and friends, was born on July 16, 1920 in Portland, Oregon to Elson Daggett, Sr. and Olive Jane Guy Daggett. He grew up in Gladstone, Oregon and graduated from West Linn High School. He attended Washington State College (WSC) from 1938 through 1943, where he was a three-year letterman on the baseball team as well as a member of the Sigma Chi fraternity, graduating with a Bachelor of Arts degree in Economics in 1943. While at WSC he achieved the rank of Cadet Captain as a second-year advanced military student, and following his college graduation he enlisted in the United States Army, where he received his commission. He participated in the Leyte, Philippine Island campaign, after which he was promoted to First Lieutenant. He was killed in action on April 8, 1945 in the Okinawa campaign. He posthumously received the Purple Heart and Bronze Star, and he is buried at Lincoln Memorial Park in Portland, Oregon.",all,file_91_1565368772,United States Army 96th Infantry Division 383rd Infantry Regiment,cultural_protocol_group_6_1543339508,samantha.edgerton,file_91_1565368772,scald_file,Daggett_biography.pdf,https://cdsc-wsu.org/ww2csp/system/files/thumbnails/file/file-140.png,,https://cdsc-wsu.org/ww2csp/system/files/atoms/file/Daggett_biography.pdf,,Match,application/pdf,ww2csp008
digital_heritage_41_1565282792,"Harry Lewis Cole, Jr. ",community_2_1537561345,"Harry Lewis Cole, Jr.","Harry Lewis Cole, Jr. was born on August 22, 1920. A native of Pullman, Washington, he attended WSC between 1938 and 1941. Commissioned a Lieutenant, Junior Grade in the U.S. Navy Reserve, he was a fighter pilot killed on June 17, 1944.",Pacific Theater;U.S. Navy,Samantha Edgerton,POINT (145.628625 15.149076),"Saipan Channel, Philippine Sea",Raymond Sun,"Harry Lewis Cole, Jr. was born on August 22, 1920 in Pullman, Washington to Harry Lewis Cole, Sr. and Ida Carrie Conard Cole. His father served as a lieutenant in the Army Air Corps during World War I before taking a position as an associate professor of chemistry at Washington State College (WSC) in 1917. Cole, Jr. graduted from Pullman High School in 1938 and enrolled in WSC that fall. While at WSC, he was a Business Administration major and member of Sigma Alpha Epsilon. He enrolled in the Civilian Pilots Training Program (CPTP), but he left WSC before graduating to enlist in the United States Naval Reserve on April 7, 1941. Cole was a flight instructor at the Naval Air Station in Pensacola, Florida, and after achieving the rank of First Lieutenant, he transferred to a fighter group of FM II's (Wildcats) assigned to the USS Kitkun Bay, an escort carrier. The Kitkun Bay began serving as escort to the bombardment and transport units of the Fifth Fleet Task Group 52.17 to Saipan. Cole died on June 17, 1944 after participating in a mission where his plane was damaged; he attempted to land on the escort carrier under cover of darkness. His body was never found. He is memorialized at Tablets of the Missing, Honolulu Memorial, within the National Memorial Cemetery of the Pacific (Punchbowl), Honolulu, Hawaii as well as Willamette National Cemetery in Portland, Oregon.",all,file_84_1565282743,United States Navy Fifth Fleet Task Group 52.17 USS Kitkun Bay,cultural_protocol_group_6_1543339508,samantha.edgerton,file_84_1565282743,scald_file,Cole_biography.pdf,https://cdsc-wsu.org/ww2csp/system/files/thumbnails/file/file-132.png,,https://cdsc-wsu.org/ww2csp/system/files/atoms/file/Cole_biography.pdf,,Match,application/pdf,ww2csp009
digital_heritage_39_1565278802,L. (Louis) Kenneth Christian,community_2_1537561345,L. (Louis) Kenneth Christian,"Kenneth Christian, born on December 29, 1912, attended WSC intermittently between 1931 and 1937. He enlisted in the U.S. Army in 1941 and later received a commission as a Second Lieutenant. He was killed in action on New Georgia on July 27, 1943.",Pacific Theater;U.S. Army,Samantha Edgerton,POINT (157.527216 -8.107765),"New Georgia, Solomon Islands",Raymond Sun,"L. (Louis) Kenneth Christian was born on December 29, 1912 to Louis and Eva Cheesman Christian in Pullman, Washington. He attended Pullman High School, graduating in 1931. Christian attended Washington State College (WSC) intermittently between 1931 and 1937, pursuing a degree in Business Administration. He also worked with his father in the shoe repair business; the younger Christian was just one semester shy of receiving his Bachelor's degree when he left school to work full time. He married Esther Wilhelm of Colfax, Washington on July 18, 1937. Christian was initially inducted into the Army National Guard in 1940, then enlisted in the U.S. Army at Fort Lewis on September 24, 1941 as a First Sergeant, Infantry. He served with the 25th Infantry Division, 161st Infantry Regiment and saw action on Guadalcanal. Following the Guadalcanal campaign, Christian received his commission as a Second Lieutenant and was sent to the island of New Georgia in the Solomon Islands, the location of a key airfield the Japanese built at Munda. He will killed in action on July 27, 1943 at Bibilo Hill on New Georgia. He is buried at Manila American Cemetery in Manila, Philippines. ",all,file_78_1565278754,United States Army 25th Infantry Division 161st Infantry Regiment,cultural_protocol_group_6_1543339508,samantha.edgerton,file_78_1565278754,scald_file,Christian_biography.pdf,https://cdsc-wsu.org/ww2csp/system/files/thumbnails/file/file-125.png,,https://cdsc-wsu.org/ww2csp/system/files/atoms/file/Christian_biography.pdf,,Match,application/pdf,ww2csp010
